date,pollster,n,Bulstrode,Lydgate,Vincy,Casaubon,Chettam,Others
3/22/24,Bardi University,660,0.355,0.3,0.23,,,0.115
3/22/24,University of Bellville-sur-Mer,1571,0.38,0.29,0.192,0.0819999999999999,0.016,0.0409999999999999
3/22/24,University of Bellville-sur-Mer,1571,0.386,0.295,0.196,0.083,,0.0409999999999999
3/20/24,Verity Insights,1507,0.376,0.304,0.209,0.079,,0.032
3/20/24,Capitol Opinion Research,1004,0.345,0.293,0.2,0.087,,0.075
3/18/24,DemocracyMeter,708,0.36,0.31,0.18,0.08,,0.07
3/16/24,Policy Voice Polling,1457,0.418,0.299,0.1969999999999999,0.05,,0.037
3/16/24,Bardi University,653,0.355,0.298,0.209,,,0.139
3/14/24,Pulse Analytics,2015,0.369,0.282,0.198,,,0.151
3/13/24,Verity Insights,1517,0.3389999999999999,0.308,0.168,0.07,,0.115
3/11/24,Mandate Metrics,1914,0.369,0.243,0.214,0.063,,0.11
3/11/24,DemocracyMeter,756,0.39,0.31,0.19,,,0.11
3/11/24,Mawmsey Reports,3033,0.3289999999999999,0.3,0.21,0.062,,0.1
3/10/24,Civic Pulse,2615,0.33,0.26,0.22,,,0.18
3/10/24,Bardi University,664,0.361,0.296,0.2239999999999999,,,0.119
3/9/24,Policy Voice Polling,1465,0.363,0.26,0.217,0.078,,0.081
3/6/24,Verity Insights,1573,0.331,0.306,0.192,0.067,,0.104
3/6/24,Capitol Opinion Research,981,0.379,0.303,0.18899999999999997,0.019,,0.11
3/4/24,DemocracyMeter,772,0.37,0.31,0.19,0.04,,0.1
3/4/24,Bardi University,677,0.3389999999999999,0.3289999999999999,0.1939999999999999,,,0.138
3/2/24,Policy Voice Polling,1409,0.335,0.296,0.23,0.071,,0.068
2/29/24,Pulse Analytics,2037,0.335,0.34,0.183,0.05,,0.092
2/28/24,Verity Insights,1589,0.326,0.332,0.183,0.065,,0.094
2/27/24,Bardi University,660,0.324,0.346,0.203,,,0.127
2/26/24,Mandate Metrics,2036,0.3,0.3,0.2339999999999999,,,0.166
2/26/24,DemocracyMeter,706,0.35,0.34,0.19,0.07,,0.05
2/25/24,Civic Pulse,2541,0.33,0.33,0.2,0.07,,0.07
2/24/24,Policy Voice Polling,1403,0.321,0.315,0.251,0.048,,0.064
2/23/24,University of Bellville-sur-Mer,1538,0.327,0.364,0.22,0.0579999999999999,0.013,0.017
2/23/24,University of Bellville-sur-Mer,1538,0.331,0.369,0.223,0.059,,0.018
2/21/24,Verity Insights,1529,0.3329999999999999,0.352,0.19,0.064,,0.061
2/21/24,Capitol Opinion Research,1020,0.335,0.313,0.21899999999999997,0.05,,0.083
2/21/24,Bardi University,675,0.317,0.305,0.1969999999999999,,,0.18
2/19/24,DemocracyMeter,724,0.33,0.35,0.22,0.06,,0.04
2/17/24,Policy Voice Polling,1446,0.335,0.3389999999999999,0.207,0.073,0.027,0.019
2/15/24,Pulse Analytics,2078,0.321,0.33,0.183,0.096,,0.07
2/15/24,Bardi University,676,0.293,0.37,0.23,,,0.108
