Date,Pollster,Sample,Bulstrode,Lydgate,Vincy,Casaubon,Chettam,Others
3/18/24,DemocracyMeter,708,36%,31%,18%,8%,,7%
3/16/24,Policy Voice Polling,"1,457",41.8%,29.9%,19.7%,5.0%,,3.7%
3/16/24,Bardi University,653,35.5%,29.8%,20.9%,,,13.9%
3/14/24,Pulse Analytics,"2,015",36.9%,28.2%,19.8%,,,15.1%
3/13/24,Verity Insights,"1,517",33.9%,30.8%,16.8%,7.0%,,11.5%
3/11/24,Mandate Metrics,"1,914*",36.9%,24.3%,21.4%,6.3%,,11.0%
3/11/24,DemocracyMeter,756,39%,31%,19%,,,11%
3/11/24,Mawmsey Reports,"3,033",32.9%,30.0%,21.0%,6.2%,,10.0%
3/10/24,Civic Pulse,"2,615",33,26,22,,,18
3/10/24,Bardi University,664,36.1%,29.6%,22.4%,,,11.9%
3/9/24,Policy Voice Polling,"1,465",36.3%,26.0%,21.7%,7.8%,,8.1%
3/6/24,Verity Insights,"1,573",33.1%,30.6%,19.2%,6.7%,,10.4%
3/6/24,Capitol Opinion Research,981,37.9,30.3,18.9,1.9,,11.0
3/4/24,DemocracyMeter,772,37%,31%,19%,4%,,10%
3/4/24,Bardi University,677,33.9%,32.9%,19.4%,,,13.8%
3/2/24,Policy Voice Polling,"1,409",33.5%,29.6%,23.0%,7.1%,,6.8%
2/29/24,Pulse Analytics,"2,037",33.5%,34.0%,18.3%,5.0%,,9.2%
2/28/24,Verity Insights,"1,589",32.6%,33.2%,18.3%,6.5%,,9.4%
2/27/24,Bardi University,660,32.4%,34.6%,20.3%,,,12.7%
2/26/24,Mandate Metrics,"2,036*",30.0%,30.0%,23.4%,,,16.6%
2/26/24,DemocracyMeter,706,35%,34%,19%,7%,,5%
2/25/24,Civic Pulse,"2,541",33,33,20,7,,7
2/24/24,Policy Voice Polling,"1,403",32.1%,31.5%,25.1%,4.8%,,6.4%
2/23/24,University of Bellville-sur-Mer,"1,538",32.7%,36.4%,22.0%,5.8%,1.3%,1.7%
2/23/24,University of Bellville-sur-Mer,"1,538",33.1%,36.9%,22.3%,5.9%,**,1.8%
2/21/24,Verity Insights,"1,529",33.3%,35.2%,19.0%,6.4%,,6.1%
2/21/24,Capitol Opinion Research,"1,020",33.5,31.3,21.9,5.0,,8.3
2/21/24,Bardi University,675,31.7%,30.5%,19.7%,,,18.0%
2/19/24,DemocracyMeter,724,33%,35%,22%,6%,,4%
2/17/24,Policy Voice Polling,"1,446",33.5%,33.9%,20.7%,7.3%,2.7%,1.9%
2/15/24,Pulse Analytics,"2,078",32.1%,33.0%,18.3%,9.6%,,7.0%
2/15/24,Bardi University,676,29.3%,37.0%,23.0%,,,10.8%
2/14/24,Verity Insights,"1,486",34.5%,35.4%,19.4%,4.7%,,6.0%
2/12/24,Mandate Metrics,"1,916*",29.2%,33.2%,22.4%,7.6%,,7.6%
2/12/24,DemocracyMeter,713,33%,37%,18%,8%,,5%
2/11/24,Civic Pulse,"2,552",33,30,20,10,,7
2/10/24,Policy Voice Polling,"1,511",32.3%,34.0%,18.6%,10.8%,,4.3%
2/10/24,Mawmsey Reports,"3,144",32.8%,32.4%,19.9%,8.3%,,6.5%
2/9/24,Bardi University,666,32.8%,30.5%,22.3%,,,14.5%
2/7/24,Verity Insights,"1,521",34.1%,30.7%,17.5%,8.8%,,9.0%
2/7/24,Capitol Opinion Research,"1,020",29.6,37.2,20.4,10.4,,2.5
2/5/24,DemocracyMeter,702,32%,33%,21%,8%,,6%
2/3/24,Policy Voice Polling,"1,475",31.2%,33.8%,20.1%,8.6%,2.3%,3.9%
2/3/24,Bardi University,697,28.9%,34.1%,23.1%,,,13.9%
2/1/24,Pulse Analytics,"2,085",31.9%,33.2%,20.0%,10.2%,,4.8%
1/31/24,Verity Insights,"1,452",29.6%,36.6%,20.2%,5.5%,,8.1%
1/29/24,Mandate Metrics,"1,930*",33.8%,34.7%,20.3%,,,11.2%
1/29/24,DemocracyMeter,759,29%,35%,20%,6%,,9%
1/28/24,Civic Pulse,"2,531",33,32,20,7,,8
1/28/24,Bardi University,669,30.4%,36.4%,18.9%,,,14.3%
1/27/24,Policy Voice Polling,"1,466",31.6%,35.1%,17.3%,8.5%,3.8%,3.7%
1/26/24,University of Bellville-sur-Mer,"1,627",31.8%,31.1%,20.5%,6.4%,4.1%,6.0%
1/26/24,University of Bellville-sur-Mer,"1,627",33.2%,32.5%,21.4%,6.7%,**,6.3%
1/24/24,Verity Insights,"1,545",30.3%,38.1%,18.1%,5.2%,,8.2%
1/24/24,Capitol Opinion Research,"1,009",29.4,35.0,17.1,7.1,,11.6
